code,language,bug_type,has_bug,corrected_code,description
"def divide(a, b):
    return a / b",python,zero_division,1,"def divide(a, b):
    if b == 0:
        raise ValueError('Cannot divide by zero')
    return a / b",Missing zero division guard
"def add(a, b):
    return a + b",python,none,0,"def add(a, b):
    return a + b",Clean addition function
"x = []
def append_item(item, lst=[]):
    lst.append(item)
    return lst",python,mutable_default,1,"def append_item(item, lst=None):
    if lst is None:
        lst = []
    lst.append(item)
    return lst",Mutable default argument
"try:
    result = int(input())
except:
    print('error')",python,bare_except,1,"try:
    result = int(input())
except ValueError as e:
    print(f'Invalid input: {e}')",Bare except clause
"import os
files = os.listdir('.')
for f in files:
    print(f)",python,none,0,"import os
files = os.listdir('.')
for f in files:
    print(f)",Clean directory listing
"password = 'admin123'
print(password)",python,hardcoded_secret,1,"import os
password = os.environ.get('PASSWORD')
print(password)",Hardcoded password in source
"def factorial(n):
    return n * factorial(n-1)",python,infinite_recursion,1,"def factorial(n):
    if n <= 1:
        return 1
    return n * factorial(n - 1)",Missing base case in recursion
"data = {'key': 'value'}
print(data['missing_key'])",python,key_error,1,"data = {'key': 'value'}
print(data.get('missing_key', 'default'))",KeyError: accessing non-existent dict key
"def is_even(n):
    return n % 2",python,wrong_return,1,"def is_even(n):
    return n % 2 == 0",Returns int not bool
"lst = [1,2,3]
for i in range(len(lst)):
    print(lst[i])",python,antipattern,1,"lst = [1,2,3]
for item in lst:
    print(item)",Using index instead of direct iteration
"if x == None:
    pass",python,none_comparison,1,"if x is None:
    pass",Use 'is None' not '== None'
result = eval(input('Enter expression: ')),python,eval_danger,1,"# Use ast.literal_eval for safe evaluation
import ast
result = ast.literal_eval(input('Enter expression: '))",Dangerous eval of user input
"def get_user(id):
    query = 'SELECT * FROM users WHERE id = ' + id
    return db.execute(query)",python,sql_injection,1,"def get_user(id):
    query = 'SELECT * FROM users WHERE id = ?'
    return db.execute(query, (id,))",SQL injection via string concatenation
"import *
from math import *",python,wildcard_import,1,"from math import sqrt, pi, floor",Wildcard import pollutes namespace
"x = 0.1 + 0.2
if x == 0.3:
    print('equal')",python,float_comparison,1,"import math
x = 0.1 + 0.2
if math.isclose(x, 0.3):
    print('equal')",Float equality comparison is unreliable
"def read_file(path):
    f = open(path)
    data = f.read()
    return data",python,unclosed_file,1,"def read_file(path):
    with open(path) as f:
        data = f.read()
    return data",File not closed properly
"nums = [1, 2, 3]
nums[5]",python,index_error,1,"nums = [1, 2, 3]
if len(nums) > 5:
    print(nums[5])
else:
    print('Index out of range')",Index out of range
"global counter
counter = 0
def increment():
    global counter
    counter += 1",python,global_variable,1,"def make_counter():
    count = [0]
    def increment():
        count[0] += 1
        return count[0]
    return increment",Unnecessary global variable
"import time
def slow():
    time.sleep(10)
    return 'done'",python,blocking_sleep,1,"import asyncio
async def slow():
    await asyncio.sleep(10)
    return 'done'",Blocking sleep in synchronous code
"class Dog:
    tricks = []
    def add_trick(self, trick):
        self.tricks.append(trick)",python,class_mutable,1,"class Dog:
    def __init__(self):
        self.tricks = []
    def add_trick(self, trick):
        self.tricks.append(trick)",Shared mutable class attribute
"def square(x):
    x * x",python,missing_return,1,"def square(x):
    return x * x",Missing return statement
print 'Hello World',python,syntax_py2,1,print('Hello World'),Python 2 print statement in Python 3
"name = input('Name: ')
sql = 'SELECT * FROM users WHERE name=%s' % name",python,sql_injection,1,"name = input('Name: ')
sql = 'SELECT * FROM users WHERE name = ?'
cursor.execute(sql, (name,))",SQL injection via % formatting
"def connect():
    import socket
    s = socket.socket()
    s.connect(('localhost', 8080))
    return s",python,no_timeout,1,"def connect():
    import socket
    s = socket.socket()
    s.settimeout(10)
    s.connect(('localhost', 8080))
    return s",Socket with no timeout
"numbers = [3,1,4,1,5]
numbers.sort()
print(numbers[0])",python,none,0,"numbers = [3,1,4,1,5]
numbers.sort()
print(numbers[0])",Clean sorting and indexing
